Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 1 Version 3.2,
Semiarid Southwest General Precipitation Area,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 6-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0.0,8.3,18.3,25.3,34.0,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,41.8,74.4,89.9,96.5,99.4,99.6,99.8,99.9,100.0,100.0,100.0,100.0,
20%,0,34.1,62.2,79.2,89.3,94.9,97.2,98.4,98.7,99.0,99.4,99.7,100.0,
30%,0,26.3,49.2,67.0,81.1,89.5,93.7,96.1,97.5,98.4,99.0,99.5,100.0,
40%,0,20.8,40.1,58.3,74.2,83.5,87.9,91.5,94.8,97.1,98.5,99.4,100.0,
50%,0,16.0,32.5,50.2,65.3,74.6,80.6,85.6,89.8,93.6,96.9,98.8,100.0,
60%,0,13.6,27.9,43.0,55.9,65.2,72.1,78.1,83.5,88.7,93.6,97.3,100.0,
70%,0,11.5,23.9,37.2,48.7,57.3,64.5,71.3,77.8,83.9,89.6,94.9,100.0,
80%,0,10.1,21.1,33.1,43.2,50.9,58.3,65.2,71.9,78.9,85.8,92.8,100.0,
90%,0,7.9,17.3,28.7,39.0,47.0,53.9,60.6,67.5,74.8,82.7,91.2,100.0,
,
Second Quartile,
,
percent of duration,0.0,8.3,16.7,25.0,33.3,41.7,50.0,58.3,66.7,75.0,83.3,91.7,100.0,
10%,0,9.4,20.3,34.8,51.4,67.6,81.1,88.6,92.7,95.9,97.9,99.1,100.0,
20%,0,8.1,17.5,29.7,43.5,58.0,71.4,81.2,88.2,92.9,96.0,98.2,100.0,
