Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 1 Version 3.2,
Semiarid Southwest General Precipitation Area,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 96-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,33.6,56.8,70.9,80.9,88.4,93.2,96.1,97.8,98.5,98.9,99.2,99.4,99.6,99.7,99.8,100,100,100,100,100,100,100,100,100
20%,0,25,44.6,58.8,69.7,78.6,85.3,89.5,92,93.6,95.3,96.9,98,98.6,99,99.3,99.6,99.7,99.8,99.9,100,100,100,100,100
30%,0,20.4,37.3,50.1,60.5,70,77.9,82.9,86,88.5,90.3,91.7,93.1,94.8,96.4,97.6,98.4,99,99.5,99.7,99.8,99.9,100,100,100
40%,0,16.5,31.8,44.4,54,62.2,70.2,76.5,80.3,82.7,84.8,86.8,88.9,90.8,92.6,94.2,95.8,97.4,98.5,99.1,99.5,99.8,100,100,100
50%,0,13.7,27,38.8,48.4,56.6,63.9,69.7,73.6,76.6,79.4,81.9,83.9,86,88.4,90.6,92.6,94.5,96.3,97.7,98.9,99.5,99.8,100,100
60%,0,10.8,21.9,32.8,42.5,50.6,57.6,63.2,67.1,70,72.2,74.3,76.7,79.8,83,85.7,88.2,90.5,92.7,95,97.1,98.6,99.4,99.8,100
70%,0,8.5,17.8,27.6,37,45.6,52.5,57.2,60.3,62.7,64.8,66.9,69.5,72.3,75.5,79,82.7,85.9,88.7,91.4,94,96.5,98.4,99.4,100
80%,0,5.9,13,21.4,30.5,39.5,47,51.2,53.7,56,58.2,60.6,63.1,65.7,68.3,70.9,73.7,77.1,81,85,88.5,91.6,95.1,98.2,100
90%,0,3.9,8.3,14.3,22.6,32.7,40.9,45.2,47.4,49.5,51.7,54.3,56.8,58.9,60.8,62.8,65.5,68.5,71.7,75.6,79.8,83.9,88.6,94.2,100

Second Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,13.9,22.1,26.8,30.8,34.5,42.9,59,75.1,85.5,92.3,96.4,98.3,99.1,99.6,99.9,100,100,100,100,100,100,100,100,100
20%,0,10.3,17.1,21.4,25,28.9,36.2,48.8,63,74.6,83.3,89.9,94.3,96.8,98.1,98.9,99.3,99.7,99.9,100,100,100,100,100,100
30%,0,8.1,13.8,17.7,21,25.2,32.1,41.8,53.5,65.5,75.4,82.6,88.5,92.8,95.2,96.6,97.8,98.7,99.2,99.6,99.9,100,100,100,100
40%,0,6.5,11.3,15,18.2,21.9,28.3,37.2,47.1,57.6,67.4,76,83.1,88.3,91.9,94.3,95.8,96.9,98,98.8,99.5,99.8,100,100,100
50%,0,5.4,9.2,12.1,15.3,19.3,25.3,33.6,42.9,52.2,61.5,70.5,78.3,84,88,90.9,93,94.8,96.4,97.7,98.6,99.3,99.7,100,100
60%,0,4.2,7,9.2,12.1,16,21.4,29,37.7,46.8,56.4,65.5,73.3,79.3,83.3,85.9,88.2,90.4,92.6,95,96.9,98.2,99.2,99.8,100
70%,0,3.2,5.6,7.5,9.6,13,18.3,24.8,32.1,40.4,49.8,59.6,67.9,73.8,77.8,80.5,82.8,85.3,88.2,91.2,94,96.3,98.1,99.5,100
80%,0,2.5,4.3,5.7,7.5,10,14,19.8,26.2,33.8,43.6,53.8,62.6,68.2,71.4,74.2,77,79.9,83.2,86.4,89.8,93,95.8,98.2,100
90%,0,1.7,2.9,3.9,5.2,7,9.7,13.1,17.8,25.1,35,46.3,56.2,62.2,65.4,67.7,69.4,71.3,74.5,78.4,82.6,87.3,91.6,95.6,100

Third Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,13.4,21.6,26.1,29.5,32.4,35.2,38.3,41.5,44.4,47.2,50.4,56.5,67.6,80.3,89.7,95.2,98.1,99.4,99.9,100,100,100,100,100
20%,0,9.7,16.5,21,24.2,26.7,29.1,31.9,34.5,37,40.1,44.2,50.2,59.7,71.2,81.4,89.7,95.4,98.3,99.4,99.8,100,100,100,100
30%,0,7.2,12.7,16.8,20.1,22.5,24.9,27.7,30,31.9,34.3,38.1,44.2,53.4,64.5,75,84,90.9,95.7,98.3,99.4,99.8,99.9,100,100
40%,0,5.8,10.2,13.7,16.6,19.3,21.6,23.5,25.1,26.8,29.4,33.2,39.3,48.1,58.3,68.4,78,86.5,92.5,96.2,98.3,99.3,99.8,99.9,100
50%,0,4.7,8.2,10.9,13.5,16.2,18.6,20.5,21.8,23.4,26.2,29.7,34.6,42.4,51.6,61.1,71.7,81.7,88.5,93,96.3,98.2,99.2,99.8,100
60%,0,3.9,6.7,8.7,10.6,12.9,15.1,16.9,18.5,20.3,22.4,25.7,30.8,37.9,46.3,55.6,65.6,75.8,83.9,89.4,93.5,96.4,98.2,99.4,100
70%,0,3,5,6.3,7.6,8.9,10.6,12.9,15.3,17.1,18.9,21.5,25.6,32,40.5,50,60.1,69.9,78.6,85.5,90.2,93.5,96.1,98.4,100
80%,0,2,3.2,4.1,5.1,6.3,7.9,9.6,10.9,12.2,14,16.5,20.2,25.8,33.4,41.5,51,62.5,72.8,80.2,85.2,88.8,92.5,96.8,100
90%,0,1.5,2.3,2.7,3.2,3.9,4.7,5.7,6.6,7.6,8.8,10.8,14.3,19,24.7,32,42.6,55.8,67.2,74.7,79.8,84,88.6,94.3,100

Fourth Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,17.1,25.7,29.6,32.5,34.6,36.6,39,41.5,43.7,45.9,47.8,49.3,50.6,52,53.6,55.6,58.4,64.2,75.5,87.9,95.4,98.6,99.8,100
20%,0,13.3,21.1,24.7,26.8,28.5,30.1,32,34.2,36.6,38.9,40.9,42.9,44.9,46.6,48.2,49.9,52.6,58.2,68.3,80.6,90.5,96.6,99.3,100
30%,0,10.2,16.5,19.9,22.3,24.1,26.1,28.2,30.2,32.4,34.3,36.2,38.0,39.7,41.7,44.2,46.5,49.2,53.7,61.6,72.4,83.7,93,98.2,100
40%,0,8.1,13.4,16.4,18.6,20.7,22.8,25,27.2,29,30.7,32.2,33.9,35.9,38.2,40.7,43.2,46.1,50.9,58.1,67.8,79.2,89.6,96.6,100
50%,0,6.2,10.1,12.8,15.4,17.8,19.6,21.3,22.9,24.6,26.3,27.8,29.0,30.7,33.3,36.3,39.4,42.5,47.1,53.7,62.6,74.5,86.4,94.9,100
60%,0,5,7.9,9.9,12.1,14.3,16.5,18.3,19.8,21.1,22.5,23.8,25.2,27.1,29.6,32.5,35.7,38.9,43.1,49.5,58.3,69.4,82,92.6,100
70%,0,4.2,6.5,8.1,9.9,11.5,13,14.5,16,17.5,19,20.5,21.8,23.3,25.4,27.9,30.8,34.2,38.9,45.7,54.3,64.8,77.2,89.6,100
80%,0,3.4,5.3,6.5,7.5,8.2,9,9.9,11.1,12.5,13.7,14.7,15.8,17.5,19.4,21.7,24.4,27.5,32.9,40.9,49.6,59.4,72.3,86.7,100
90%,0,2.4,3.9,4.8,5.7,6.4,6.8,7.2,7.6,8.2,8.7,9.6,10.8,12.1,13.6,15.5,17.6,20.3,24.8,31.7,39.8,49.2,62.7,80.8,100

All Cases,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,71.5,76.1,80.6,84.3,87.5,91.7,95.8,100
10%,0,24.1,42.3,55.5,66.6,75.7,82.5,87.3,90.2,92.6,95.3,97.2,98.1,98.6,99,99.4,99.7,99.9,100,100,100,100,100,100,100
