Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 2 Version 2.1,
Ohio River Basin and Surrounding States,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 6-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,,,,,,,,,,,,,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile ,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,36.8,66.8,84.4,94.5,99,99.7,100,100,100,100,100,100
20%,0,29.5,54.8,74,88.5,95.9,98.2,99.4,99.8,100,100,100,100
30%,0,24.5,46.8,66.3,82.4,91,94.6,97.1,98.8,99.6,99.9,100,100
40%,0,21.1,40.9,59.7,75.8,85.3,90.2,93.7,96.2,98,99.3,99.9,100
50%,0,18.2,36.1,53.9,69.1,78.4,84,88.6,92.4,95.4,97.7,99.1,100
60%,0,15.6,31.9,48.6,62.5,71.2,77,82.3,87.3,91.7,95.2,97.9,100
70%,0,13.3,27.8,43.5,56.2,64.2,70.3,76.2,81.7,87.1,92.1,96.3,100
80%,0,11.2,24,38.3,49.9,57.3,63.2,69.1,75.2,81.8,88.5,94.4,100
90%,0,8.6,19.4,32.8,43.7,50.6,56.3,62.1,68.4,75.9,83.8,91.8,100

Second Quartile,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,10.1,22.4,41,62.4,80.1,92.4,97.9,99.4,100,100,100,100
20%,0,7.9,18.3,34.3,53,70.9,85.6,93.5,97,99,99.7,100,100
30%,0,6.3,15.5,30,46.9,64.2,79.2,88.5,93.8,97.1,99,99.8,100
40%,0,5.4,13.4,26.5,42.1,58.7,73.6,83.7,90.2,94.5,97.3,98.9,100
50%,0,4.4,11.5,23.5,37.9,53.7,68.4,79,86.3,91.6,95.4,98,100
60%,0,3.4,9.6,20.7,34.1,49.3,63.8,74.5,82.3,88.5,93.4,97.1,100
70%,0,2.4,7.8,17.7,30.2,45.1,59.7,70.4,78.4,85.2,91.1,95.9,100
80%,0,1.9,6.2,14.5,25.9,40.8,55.4,65.8,73.9,81.4,88.4,94.3,100
90%,0,1,4,10,20,35.7,50.9,60.9,68.8,76.8,84.8,92.4,100

Third Quartile,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,10.2,19.5,27.5,35.3,42.7,52.6,69.1,85.8,94.7,98.4,99.8,100
20%,0,7.6,15.2,22.9,30.6,38.2,48.1,63.3,79,89.4,95.8,98.9,100
30%,0,6.1,12.6,19.8,27.3,35,45,59.5,74.4,85.6,93.5,97.8,100
40%,0,5,10.6,17.2,24.3,32.1,42.3,56.4,70.8,82.6,91.5,96.8,100
50%,0,4.1,8.9,14.7,21.4,29.2,39.4,53.1,67.5,79.9,89.8,95.9,100
60%,0,3.3,7.4,12.6,18.7,26.1,36.1,49.7,64.1,77,87.8,94.8,100
70%,0,2.6,5.9,10.2,15.6,22.5,32.4,46.1,60.7,74.2,85.7,93.7,100
80%,0,2,4.4,7.6,12,18.2,27.6,41.5,56.8,71.2,83.6,92.6,100
90%,0,1.1,2.7,4.7,7.6,12.2,20.4,34.1,50.3,66.6,80.6,91.1,100

Fourth Quartile,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,11.6,21.8,29.6,36.4,42.2,47.7,53.3,60,70.2,82.6,92.4,100
20%,0,9,17.5,25.1,31.9,37.9,43.7,49.6,56.5,66.7,79.1,90.1,100
30%,0,7.6,15.1,22.3,29,35,40.7,46.3,53.4,64.1,76.9,88.8,100
40%,0,6.3,12.8,19.6,26,32,37.7,43.1,50.3,61.4,74.5,87.4,100
50%,0,5.4,11,17.1,23.1,28.9,34.5,39.8,47.1,58.7,72.3,86.1,100
60%,0,4.4,9.4,14.9,20.4,25.6,30.6,35.9,43.5,55.5,69.7,84.6,100
70%,0,3.4,7.5,12.3,17.2,22,26.9,32,39.6,51.9,66.7,82.9,100
80%,0,2.5,5.6,9.4,13.5,17.6,22.1,27,34.8,47.3,62.4,80.2,100
90%,0,1.8,3.8,6,8.5,11.5,14.8,18.3,25.7,38.9,55.5,76.2,100

All Cases,

percent of duration,0,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100
10%,0,24.6,46.8,66.5,83.1,92.4,96.6,98.8,99.7,100,100,100,100
20%,0,16.3,32.8,50.6,67,78.9,87.4,93,96.5,98.6,99.6,100,100
30%,0,11.9,24.8,39.8,54.5,66.8,77.1,85,91.2,95.4,98,99.4,100
