Tabulated Temporal Distribution Data,
NOAA Atlas 14 Volume 2 Version 2.1,
Ohio River Basin and Surrounding States,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 96-hour duration.  ,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,

First Quartile,

percent of duration,0,4.2,8.3,12.5,16.7,20.8,25,29.2,33.3,37.5,41.7,45.8,50,54.2,58.3,62.5,66.7,70.8,75,79.2,83.3,87.5,91.7,95.8,100
10%,0,39.6,64.3,78.6,88.2,94.1,97.5,99.2,99.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20%,0,28.4,49.7,64.6,75.7,83.9,89.9,93.9,96.5,98.1,99,99.5,99.8,100,100,100,100,100,100,100,100,100,100,100,100
30%,0,21.8,40.6,55.1,66.3,75.1,82.2,87.3,90.8,93.2,95.1,96.6,97.8,98.7,99.3,99.7,100,100,100,100,100,100,100,100,100
40%,0,17.2,33.8,47.8,58.7,67.5,74.8,80.3,84.4,87.4,89.8,91.7,93.3,95,96.7,98,98.9,99.5,99.9,100,100,100,100,100,100
50%,0,13.2,27.5,41,51.9,60.9,68.5,74.1,78.1,81.1,83.6,85.7,87.8,90,92.2,94,95.6,96.9,98.3,99.3,99.8,100,100,100,100
60%,0,9.9,21.7,34.4,45.6,54.8,62.1,67.6,71.5,74.3,76.7,79,81.3,83.8,86.2,88.5,90.5,92.4,94.5,96.6,98.4,99.5,99.9,100,100
70%,0,7.1,16.3,27.6,39.2,49.2,56.6,61.5,64.7,67.4,69.7,71.7,73.9,76.4,78.9,81.2,83.6,86.1,88.9,92.1,95,97.3,98.9,99.8,100
80%,0,4.8,11.3,20.7,32,42.8,50.8,55.4,58,60.1,62,64,66.4,68.8,71,73,75,77.5,80.7,84.6,88.4,92.2,95.9,98.6,100
90%,0,2.5,6.2,12.6,22.6,34.5,43.9,48.5,50.7,52.4,54.1,55.8,57.6,59.2,60.9,62.7,64.8,67.3,70.4,73.8,77.6,81.9,87.5,93.9,100
