Tabulated Temporal Distribution Data,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA Atlas 14 Volume 3 Version 2,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico and the U.S. Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,

This is a comma delimited file containing temporal distribution data for all four quartiles and combined cases (i.e. all cases) for the 96-hour duration.  ,,,,,,,,,,,,,,,,,,,,,,,,,
The first row of each table is the percent of duration (x-axis) which ranges from 0 to 100 percent. ,,,,,,,,,,,,,,,,,,,,,,,,,
The first column of each table contains labels (10 to 90%) corresponding to each line on the graph which represents the cumulative probability of occurrence for the temporal distribution.,,,,,,,,,,,,,,,,,,,,,,,,,
The percent of total precipitation (y-axis) which also ranges from 0 to 100 percent is contained in the labeled rows. ,,,,,,,,,,,,,,,,,,,,,,,,,
These files correspond to the graphs presented in Appendix A.1 of the NOAA Atlas 14 documentation which can be found at: http://hdsc.nws.noaa.gov/hdsc/pfds/pfds_docs.html.  The documentation also contains other important information about these data including the number and proportion of cases in each quartile for each duration.,,,,,,,,,,,,,,,,,,,,,,,,,

First Quartile ,,,,,,,,,,,,,,,,,,,,,,,,,

percent of duration,0.0,4.2,9.5,15.5,19.2,23.1,26.7,30.4,35.7,39.0,42.1,45.8,50.0,54.2,58.3,62.5,66.7,70.8,75.0,79.2,83.3,87.5,91.7,95.8,100.0
10%,0,38.8,65.0,78.5,86.8,93.0,96.8,98.5,99.0,99.5,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20%,0,27.3,49.5,63.3,72.3,80.8,88.0,92.3,94.3,95.8,97.0,98.0,98.6,99.2,99.4,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30%,0,20.3,40.8,54.5,63.3,72.0,79.5,83.5,86.6,89.5,91.7,93.5,94.3,95.8,96.6,97.4,98.0,98.8,99.0,99.6,99.8,100.0,100.0,100.0,100.0
40%,0,15.3,32.5,44.3,52.5,61.0,68.3,74.0,77.8,79.8,82.8,85.0,87.0,89.7,91.3,93.5,94.0,95.7,96.8,97.8,99.0,99.8,100.0,100.0,100.0
50%,0,12.3,27.8,37.8,45.3,53.4,60.5,66.5,70.8,73.3,75.7,77.9,80.0,82.8,84.8,87.7,88.7,91.3,93.3,95.5,97.0,98.3,99.5,100.0,100.0
60%,0,8.8,21.0,31.8,39.5,47.0,55.0,61.0,64.6,67.4,70.4,72.5,74.5,77.3,79.4,82.4,83.4,86.4,88.5,91.3,94.3,96.5,98.5,99.8,100.0
70%,0,5.3,13.5,23.8,33.5,41.8,49.0,54.5,58.0,60.3,63.2,65.4,67.6,70.8,72.5,75.9,77.3,79.8,82.4,85.8,90.3,94.0,96.8,98.8,100.0
80%,0,3.3,7.5,14.5,24.8,35.5,44.0,48.8,51.8,53.8,56.3,58.9,61.1,64.2,66.4,70.2,71.3,74.3,76.9,80.8,85.5,90.3,94.0,97.0,100.0
90%,0,1.5,4.3,8.8,16.5,27.8,37.8,42.5,44.7,46.8,49.0,51.2,53.2,56.1,58.3,61.9,63.2,66.4,69.6,73.5,77.0,80.8,86.0,93.3,100.0

Second Quartile,,,,,,,,,,,,,,,,,,,,,,,,,

percent of duration,0.0,4.2,9.5,15.5,19.2,23.1,26.7,30.4,35.7,39.0,42.1,45.8,50.0,54.2,58.3,62.5,66.7,70.8,75.0,79.2,83.3,87.5,91.7,95.8,100.0
10%,0,9.9,13.6,17.8,20.9,25.3,37.5,59.8,77.0,85.3,91.5,95.5,97.3,98.75,99.75,100,100,100,100,100,100,100,100,100,100
20%,0,6.8,10.3,13.0,16.4,20.3,31.0,49.0,64.0,74.8,84.3,90.8,94.0,96,97.75,99,99.75,100,100,100,100,100,100,100,100
30%,0,4.5,7.5,9.3,11.5,15.5,23.3,37.3,53.3,66.0,76.0,84.0,89.3,93.5,96,97.2,98.4,99.25,99.75,100,100,100,100,100,100
40%,0,3.5,6.0,8.0,10.0,13.0,19.5,30.5,44.5,58.8,70.5,79.0,85.3,90.25,93.3,94.9,96.2,96.8,98.25,99.2,99.8,99.75,100,100,100
50%,0,2.8,5.0,7.0,8.8,11.0,15.8,24.5,36.8,49.8,62.3,73.3,81.0,85.75,89.7,91.7,93.9,94.5,96,97.75,98.75,99.25,99.75,100,100
60%,0,2.0,4.0,6.0,7.8,9.5,13.0,20.0,29.8,41.0,54.0,66.8,76.3,81.75,85.6,87.5,89.7,90.5,93,95.3,97.5,98.25,99,99.75,100
70%,0,1.3,3.0,4.2,6.0,7.5,10.3,15.3,23.3,34.0,47.8,62.0,72.0,76.75,80.8,83,85.4,86.2,89.1,91.7,95.75,96.4,98,99,100
80%,0,1.0,1.8,2.3,3.8,4.8,7.8,11.3,16.5,24.8,37.7,52.4,61.8,70.25,75,77.3,80,81.2,84.2,88,92,93.5,95.75,97.5,100
90%,0,0.8,1.0,1.3,1.8,2.3,3.8,7.0,10.5,16.5,29.0,44.0,54.3,62.3,69.6,72.1,74.9,76.7,79.4,82.25,86.6,88.25,91,94.75,100

Third Quartile,,,,,,,,,,,,,,,,,,,,,,,,,

percent of duration,0.0,4.2,9.5,15.5,19.2,23.1,26.7,30.4,35.7,39.0,42.1,45.8,50.0,54.2,58.3,62.5,66.7,70.8,75.0,79.2,83.3,87.5,91.7,95.8,100.0
